Name EN,Focus Region,Language,Entity Owner EN,Parent Entity EN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Zheng Chenlei (Blair Zheng),Anglosphere,English,China Media Group (CMG),Central Publicity Department,BlairZheng1,7,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7,100.0,0.0,0.0,0.0,0.0,0.0,False
Tang Bo,Anglosphere,English,China Media Group (CMG),Central Publicity Department,Bossebosse84,215,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,215,100.0,0.0,0.0,0.0,0.0,0.0,False
Wang Cong,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,bycongwang,586,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,586,100.0,0.0,0.0,0.0,0.0,0.0,False
Cao Li,Anglosphere,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Cao_Li_CHN,16700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,16700,100.0,0.0,0.0,0.0,0.0,0.0,False
Cao Yi,MENA,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CaoYi_MFA,132900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,132900,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Pakistan,Pakistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CathayPak,161000,profile.php?id=100071253341591,6800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,167800,95.9,4.1,0.0,0.0,0.0,0.0,True
Chinese Consulate General in Belfast,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CCGBelfast,7342,Unknown,0,ccginbelfast,50,Unknown,0,Unknown,0,ccgbelfast,16,3,Medium,7408,99.1,0.0,0.7,0.0,0.0,0.2,True
Chinese Consulate General in Jeddah,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CCGJeddah,3268,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3268,100.0,0.0,0.0,0.0,0.0,0.0,False
CCTV+,China,Chinese,China Media Group (CMG),Central Publicity Department,CCTV_Plus,35300,NewsContent.CCTVPLUS/,918000,cctv_video_news_agency,2190,Unknown,0,CCTVVideoNewsAgency,518000,cctv_plus,104,5,High,1473594,2.4,62.3,0.1,0.0,35.2,0.0,True
CCTV News,China,Chinese,China Media Group (CMG),Central Publicity Department,cctvxinwen,1340,cctvxinwen,2400,Unknown,0,Unknown,0,Unknown,0,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663,3,Medium,4403,30.4,54.5,0.0,0.0,0.0,15.1,True
Visual China,Anglosphere,English,China Daily Press,Central Publicity Department,CD_visual,998,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,998,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Africa,African Union,English,China Daily Press,Central Publicity Department,CDAfricaNews,3385,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3385,100.0,0.0,0.0,0.0,0.0,0.0,False
China Watch,Anglosphere,English,China Daily Press,Central Publicity Department,CDchinawatch,563,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,563,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Hong Kong,Hong Kong,English,China Daily Press,Central Publicity Department,CDHKedition,3717,chinadailyhkedition,1700000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1703717,0.2,99.8,0.0,0.0,0.0,0.0,True
CD Opinion,Anglosphere,English,China Daily Press,Central Publicity Department,CdOpinion,707,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,707,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Sci-tech,Anglosphere,English,China Daily Press,Central Publicity Department,CDscitech,164,ChinaDailySciTech,8700000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,8700164,0.0,100.0,0.0,0.0,0.0,0.0,True
Cen Ziyuan (Jasmine Cen),Anglosphere,English,China Media Group (CMG),Central Publicity Department,CenJasmine,262,jasminecenz,148,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,410,63.9,36.1,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Zurich,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGChinaInZurich,8972,Unknown,0,Unknown,0,Unknown,0,Unknown,0,chinakonsulzurich,40900,2,Medium,49872,18.0,0.0,0.0,0.0,0.0,82.0,True
Huang Ping,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGHuangPingNY,7556,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7556,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhang Meifang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGMeifangZhang,160000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,cgmeifangzhang,1071,2,Medium,161071,99.3,0.0,0.0,0.0,0.0,0.7,True
China Consulate in Dubai,UAE,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGPRCinDubai,3993,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3993,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Culture,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTN_Culture,1537,Unknown,0,Unknown,0,cgtnculture,7,Unknown,0,Unknown,0,2,Medium,1544,99.5,0.0,0.0,0.5,0.0,0.0,True
CGTN Dialogue,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTN_Dialogue,1011,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1011,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Inheritors,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtn_inheritors,0,cgtn.inheritors,204000,cgtn_inheritors,586,Unknown,0,Unknown,0,Unknown,0,2,Medium,204586,0.0,99.7,0.3,0.0,0.0,0.0,True
CGTN Style,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTN_Style,56,CGTN-Style-117178546331993,1165,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1221,4.6,95.4,0.0,0.0,0.0,0.0,False
CGTN Africa,African Union,English,China Media Group (CMG),Central Publicity Department,cgtnafrica,149100,cgtnafrica,4587965,cgtn_africa,41500,Unknown,0,CGTNAfrica,824000,Unknown,0,4,High,5602565,2.7,81.9,0.7,0.0,14.7,0.0,True
CGTN America,USA,English,China Media Group (CMG),Central Publicity Department,cgtnamerica,288200,cgtnamerica,1550082,cgtnamerica,298000,cgtnamerica,12300,cgtnamerica,685000,Unknown,0,5,High,2833582,10.2,54.7,10.5,0.4,24.2,0.0,True
CGTN Arabic,MENA,Arabic,China Media Group (CMG),Central Publicity Department,cgtnarabic,668300,Unknown,0,cgtnarabic,178000,Unknown,0,CGTNArabic,491000,cgtnarabic,66,4,High,1337366,50.0,0.0,13.3,0.0,36.7,0.0,True
CGTN Business,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNBusiness,1162,CGTNBusiness,102253,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,103415,1.1,98.9,0.0,0.0,0.0,0.0,False
CGTN DC Producers,USA,English,China Media Group (CMG),Central Publicity Department,CGTNDCproducers,455,CGTNDialogueideasmatter,131000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,131455,0.3,99.7,0.0,0.0,0.0,0.0,False
CGTN Europe,EU,English,China Media Group (CMG),Central Publicity Department,CGTNEurope,18200,cgtneuropeofficial,2100000,cgtneurope,30000,Unknown,0,CGTNEurope,110000,cgtneurope,225800,5,High,2484000,0.7,84.5,1.2,0.0,4.4,9.1,True
CGTN Europe Breaking News,EU,English,China Media Group (CMG),Central Publicity Department,CGTNEuropebreak,1741,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1741,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Food,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNFood,98,CGTN-Food-100820617981722,520,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,618,15.9,84.1,0.0,0.0,0.0,0.0,False
CGTN Français,la Francophonie,French,China Media Group (CMG),Central Publicity Department,CGTNFrancais,977800,CGTNFrancais,20423675,cgtnfrancais,248000,Unknown,0,CGTNFrancais,404000,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,168,5,High,22053643,4.4,92.6,1.1,0.0,1.8,0.0,True
CGTN Global Business,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNGlobalBiz,12500,CGTNGlobalBusiness,1600000,Unknown,0,Unknown,0,BizAsiaAmerica,7980,Unknown,0,3,Medium,1620480,0.8,98.7,0.0,0.0,0.5,0.0,True
CGTN Graphics,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNGraphics,914,CGTNGraphics,545,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1459,62.6,37.4,0.0,0.0,0.0,0.0,False
CGTN Movies,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNMovies,79,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,79,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNOfficial,13000000,ChinaGlobalTVNetwork,116450496,cgtn,2300000,cgtn,69100,CGTN,3050000,Unknown,0,5,High,134869596,9.6,86.3,1.7,0.1,2.3,0.0,True
CGTN Radio,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtnradio,725200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,725200,100.0,0.0,0.0,0.0,0.0,0.0,True
CGTN Russian,Russia,Russian,China Media Group (CMG),Central Publicity Department,cgtnrussian,87500,Unknown,0,cgtn_russian,770,Unknown,0,cgtnrussian,263000,cgtn_russian,101,4,High,351371,24.9,0.0,0.2,0.0,74.8,0.0,True
CGTN Sports,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNSports,1046,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1046,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Sports Scene,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNSportsScene,7582,CGTNSportsScene,670000,cgtn_sports_scene,2617,Unknown,0,cgtnsportsscene,158000,Unknown,0,4,High,838199,0.9,79.9,0.3,0.0,18.8,0.0,True
CGTN Stories,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNStories,1669,CGTNStories,95000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,96669,1.7,98.3,0.0,0.0,0.0,0.0,False
CGTN Tech,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNTech,1206,CGTN-Tech-104251674369966,600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1806,66.8,33.2,0.0,0.0,0.0,0.0,False
CGTN Travel,Anglosphere,English,China Media Group (CMG),Central Publicity Department,CGTNTravel,494,CGTN-Travel-102031311241723,96000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,96494,0.5,99.5,0.0,0.0,0.0,0.0,False
CGTN Travelogue,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtntravelogue,973,cgtntravelogue,517000,cgtntravelogue,1808,Unknown,0,Unknown,0,Unknown,0,3,Medium,519781,0.2,99.5,0.3,0.0,0.0,0.0,True
CGTN United Nations,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtnun,33,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,33,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhang Ping,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGZhangPingLA,7021,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7021,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Chen,Kenya,English,China Media Group (CMG),Central Publicity Department,Chen1126,2052,profile.php?id=100057358513319,88000,liu.chen0_0,1919,Unknown,0,Unknown,0,Unknown,0,3,Medium,91971,2.2,95.7,2.1,0.0,0.0,0.0,True
Chen Huixin,Finland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chenhuixin,736,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,736,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Juan,Anglosphere,English,Shanghai Media Group (SMG),Shanghai Municipal Committee,Chenjuan,592,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,592,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Mingjian,Tanzania,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChenMingjian_CN,10500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,10500,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Ping,Spain,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChenPingMFA,8391,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8391,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Weihua,Anglosphere,English,China Daily Press,Central Publicity Department,chenweihua,195700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,195700,100.0,0.0,0.0,0.0,0.0,0.0,True
