Name EN,Name CN,Focus Region,Language,Entity Owner EN,Entity Owner CN,Parent Entity EN,Parent Entity CN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Zhu Jing,朱京,EU,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ZhuJing,18500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,18500,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in France,中国驻法国大使馆,France,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadeChine,63800,AmbassadeChine,61000,ambassadedechine,2593,Unknown,0,Unknown,0,ambassadedechine,168600,4,High,295993,21.6,20.6,0.9,0.0,0.0,57.0,True
Liu Yuxi,Unknown,African Union,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Ambassador_Liu,11200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,11200,100.0,0.0,0.0,0.0,0.0,0.0,False
Huang Xingyuan,Unknown,Cyprus,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorHuang,2534,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2534,100.0,0.0,0.0,0.0,0.0,0.0,False
Lei Kezhong,Unknown,Lesotho,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorLei,1470,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1470,100.0,0.0,0.0,0.0,0.0,0.0,False
Chang Hua,Unknown,Iran,Persian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChangHua,26400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,26400,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Bo,Unknown,Serbia,Serbian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenBo,12900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12900,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Weiqing,Unknown,Saudi Arabia,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenWeiqing,83700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,83700,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Burundi,中国驻布隆迪大使馆,Burundi,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineBurundi,4651,Unknown,0,Unknown,0,Unknown,0,ambassadedechineauburundi9155,71,Unknown,0,2,Medium,4722,98.5,0.0,0.0,0.0,1.5,0.0,True
Chinese Embassy in Cameroon,Unknown,Cameroon,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineCmr,3147,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3147,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Dem. Rep. of Congo (Kinshasa),中国驻刚果（金）大使馆,Dem. Rep. of Congo,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCHINEenRDC,17400,profile.php?id=100091791662713,132,Unknown,0,Unknown,0,ambassaderdcchine5932,454,Unknown,0,3,Medium,17986,96.7,0.7,0.0,0.0,2.5,0.0,True
Chinese Embassy in Chad,中华人民共和国驻乍得共和国大使馆,Chad,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ambchinetchad,5478,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5478,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Italy,中国驻意大利使馆,Italy,Italian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCina,48800,chineseembassyitaly,17700,ambcina,2175,Unknown,0,Unknown,0,ambcina,7989,4,High,76664,63.7,23.1,2.8,0.0,0.0,10.4,True
Cui Tiankai,Unknown,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCuiTiankai,137100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,137100,100.0,0.0,0.0,0.0,0.0,0.0,True
Dong Xiaojun,Unknown,Bulgaria,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbDongXiaojun,8993,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8993,100.0,0.0,0.0,0.0,0.0,0.0,False
Fang Qiu,Unknown,Trinidad and Tobago,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbFangQiu,1809,fang.qiu.9847,4500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,6309,28.7,71.3,0.0,0.0,0.0,0.0,False
Jia Guide,贾桂德,Italy,Italian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbJiaGuide,6878,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6878,100.0,0.0,0.0,0.0,0.0,0.0,False
Kong Xuanyou,孔鉉佑,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbKongXuanyou,3599,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3599,100.0,0.0,0.0,0.0,0.0,0.0,False
Liao Liqiang,廖力强,Egypt,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiaoLiqiang,16500,AmbLiaoliqiang,6200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,22700,72.7,27.3,0.0,0.0,0.0,0.0,False
Liu Guangyuan,Unknown,Poland,Polish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuGuangYuan,5596,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5596,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Quan,Unknown,Suriname,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuQuan,13700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,13700,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Xiaoming,刘晓明,South Korea,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuXiaoMing,329400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,329400,100.0,0.0,0.0,0.0,0.0,0.0,True
Nong Rong,Unknown,Pakistan,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbNong,61200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,61200,100.0,0.0,0.0,0.0,0.0,0.0,True
Qin Gang,秦刚,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbQinGang,288500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,288500,100.0,0.0,0.0,0.0,0.0,0.0,True
Wu Jianghao,吴江浩,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbWuJianghao,4587,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,4587,100.0,0.0,0.0,0.0,0.0,0.0,False
Xie Feng,谢锋,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbXieFeng,19400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,19400,100.0,0.0,0.0,0.0,0.0,0.0,False
Zheng Zeguang,Unknown,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbZhengZeguang,8481,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8481,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhou Jian,Unknown,Qatar,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbZhouJian,6682,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6682,100.0,0.0,0.0,0.0,0.0,0.0,False
Media Challengers,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,aMEDIAchallenge,66,themediachallengers,93000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,93066,0.1,99.9,0.0,0.0,0.0,0.0,False
Andy Boreham,安柏然,Shanghai,English,Shanghai United Media Group (SUMG),上海报业集团,Shanghai Municipal Committee,中共上海市委,AndyBxxx,85400,reportsonchina,21000,Unknown,0,Unknown,0,ReportsOnChina,57000,andysshanghailife,2733,4,High,166133,51.4,12.6,0.0,0.0,34.3,1.6,True
Ge Anna,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,AnnaGE_,3298,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3298,100.0,0.0,0.0,0.0,0.0,0.0,False
Wang Zeyu (Anosi Wang),Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,anosiwang,208,Unknown,0,anosiwang,247,Unknown,0,Unknown,0,Unknown,0,2,Medium,455,45.7,0.0,54.3,0.0,0.0,0.0,True
We Are China,Unknown,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,are_china,104,WeAreChinaVideos,25000000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,25000104,0.0,100.0,0.0,0.0,0.0,0.0,True
CGTN Assignment Asia,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,assignasia,740,cgtnassignmentasia,102000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,102740,0.7,99.3,0.0,0.0,0.0,0.0,False
Ma Ye (Ayisha Elseenya / عائشة الصينية),马烨,MENA,Arabic,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,ayishaelseenya,95,AyishaElseenyOfficial,2338731,ayisha_elseeny13,41100,Unknown,0,AyishaElseenya,866000,ayishaelseenya,31200,5,High,3277126,0.0,71.4,1.3,0.0,26.4,1.0,True
Diba,帝吧,China,Chinese,Diba,帝吧,Diba,帝吧,back_XiaoDiDi,29300,China.Di8,41000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,70300,41.7,58.3,0.0,0.0,0.0,0.0,False
Discover Jiangxi,Unknown,Jiangxi,English,Jiangxi Provincial Department of Culture and Tourism,江西省文化和旅游厅,Jiangxi Provincial People's Government,江西省人民政府,BeautyJiangxi,88000,DiscoverJiangxi2018,1200000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1288000,6.8,93.2,0.0,0.0,0.0,0.0,True
Beijing Channel,Unknown,Anglosphere,English,Xinhua News Agency,新华社,State Council,中华人民共和国国务院,BeijingChannel,1347,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1347,100.0,0.0,0.0,0.0,0.0,0.0,False
Discover Beijing,Unknown,Anglosphere,English,unknown,Unknown,unknown,Unknown,BeijingDiscover,22900,DiscoverBeijing,4000000,idiscoverbeijing,7137,idiscoverbeijing,88,Unknown,0,discoverbeijing,9009,5,High,4039134,0.6,99.0,0.2,0.0,0.0,0.2,True
Beijing Review,北京周報,Beijing,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,BeijingReview,94300,BJReview,94300,beijingreview,3087,Unknown,0,BeijingReview,1790,Unknown,0,4,High,193477,48.7,48.7,1.6,0.0,0.9,0.0,True
Belt and Road News Network,Unknown,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,beltroadnews,3062,TheBeltandRoadNewsNetwork,4900000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,4903062,0.1,99.9,0.0,0.0,0.0,0.0,True
BJD Review,Unknown,China,Chinese,Beijing Daily Newspaper Group ,北京日报报业集团(北京日报社),Beijing Municipal Committee,中共北京市委,bjd_review,868,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,868,100.0,0.0,0.0,0.0,0.0,0.0,False
Zheng Chenlei (Blair Zheng),Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,BlairZheng1,7,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7,100.0,0.0,0.0,0.0,0.0,0.0,False
Tang Bo,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Bossebosse84,215,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,215,100.0,0.0,0.0,0.0,0.0,0.0,False
Wang Cong,Unknown,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,bycongwang,586,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,586,100.0,0.0,0.0,0.0,0.0,0.0,False
Cao Li,曹利,Anglosphere,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Cao_Li_CHN,16700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,16700,100.0,0.0,0.0,0.0,0.0,0.0,False
Cao Yi,Unknown,MENA,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CaoYi_MFA,132900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,132900,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Pakistan,中国驻巴基斯坦使馆,Pakistan,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CathayPak,161000,profile.php?id=100071253341591,6800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,167800,95.9,4.1,0.0,0.0,0.0,0.0,True
Chinese Consulate General in Belfast,中国驻贝尔法斯特总领事馆,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGBelfast,7342,Unknown,0,ccginbelfast,50,Unknown,0,Unknown,0,ccgbelfast,16,3,Medium,7408,99.1,0.0,0.7,0.0,0.0,0.2,True
Chinese Consulate General in Jeddah,Unknown,Saudi Arabia,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGJeddah,3268,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3268,100.0,0.0,0.0,0.0,0.0,0.0,False
CCTV+,Unknown,China,Chinese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CCTV_Plus,35300,NewsContent.CCTVPLUS/,918000,cctv_video_news_agency,2190,Unknown,0,CCTVVideoNewsAgency,518000,cctv_plus,104,5,High,1473594,2.4,62.3,0.1,0.0,35.2,0.0,True
CCTV News,央视新闻,China,Chinese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cctvxinwen,1340,cctvxinwen,2400,Unknown,0,Unknown,0,Unknown,0,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663,3,Medium,4403,30.4,54.5,0.0,0.0,0.0,15.1,True
Visual China,Unknown,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CD_visual,998,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,998,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Africa,Unknown,African Union,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDAfricaNews,3385,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3385,100.0,0.0,0.0,0.0,0.0,0.0,False
China Watch,Unknown,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDchinawatch,563,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,563,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Hong Kong,中国日报香港版,Hong Kong,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDHKedition,3717,chinadailyhkedition,1700000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1703717,0.2,99.8,0.0,0.0,0.0,0.0,True
CD Opinion,Unknown,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CdOpinion,707,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,707,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Sci-tech,Unknown,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDscitech,164,ChinaDailySciTech,8700000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,8700164,0.0,100.0,0.0,0.0,0.0,0.0,True
Cen Ziyuan (Jasmine Cen),Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CenJasmine,262,jasminecenz,148,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,410,63.9,36.1,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Zurich,Unknown,Switzerland,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGChinaInZurich,8972,Unknown,0,Unknown,0,Unknown,0,Unknown,0,chinakonsulzurich,40900,2,Medium,49872,18.0,0.0,0.0,0.0,0.0,82.0,True
Huang Ping,黄屏,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGHuangPingNY,7556,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7556,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhang Meifang,Unknown,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGMeifangZhang,160000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,cgmeifangzhang,1071,2,Medium,161071,99.3,0.0,0.0,0.0,0.0,0.7,True
China Consulate in Dubai,Unknown,UAE,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGPRCinDubai,3993,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3993,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Culture,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Culture,1537,Unknown,0,Unknown,0,cgtnculture,7,Unknown,0,Unknown,0,2,Medium,1544,99.5,0.0,0.0,0.5,0.0,0.0,True
CGTN Dialogue,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Dialogue,1011,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1011,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Inheritors,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtn_inheritors,0,cgtn.inheritors,204000,cgtn_inheritors,586,Unknown,0,Unknown,0,Unknown,0,2,Medium,204586,0.0,99.7,0.3,0.0,0.0,0.0,True
CGTN Style,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Style,56,CGTN-Style-117178546331993,1165,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1221,4.6,95.4,0.0,0.0,0.0,0.0,False
CGTN Africa,Unknown,African Union,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnafrica,149100,cgtnafrica,4587965,cgtn_africa,41500,Unknown,0,CGTNAfrica,824000,Unknown,0,4,High,5602565,2.7,81.9,0.7,0.0,14.7,0.0,True
CGTN America,Unknown,USA,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnamerica,288200,cgtnamerica,1550082,cgtnamerica,298000,cgtnamerica,12300,cgtnamerica,685000,Unknown,0,5,High,2833582,10.2,54.7,10.5,0.4,24.2,0.0,True
CGTN Arabic,Unknown,MENA,Arabic,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnarabic,668300,Unknown,0,cgtnarabic,178000,Unknown,0,CGTNArabic,491000,cgtnarabic,66,4,High,1337366,50.0,0.0,13.3,0.0,36.7,0.0,True
CGTN Business,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNBusiness,1162,CGTNBusiness,102253,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,103415,1.1,98.9,0.0,0.0,0.0,0.0,False
CGTN DC Producers,Unknown,USA,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNDCproducers,455,CGTNDialogueideasmatter,131000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,131455,0.3,99.7,0.0,0.0,0.0,0.0,False
CGTN Europe,中国环球电视网欧洲分台,EU,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNEurope,18200,cgtneuropeofficial,2100000,cgtneurope,30000,Unknown,0,CGTNEurope,110000,cgtneurope,225800,5,High,2484000,0.7,84.5,1.2,0.0,4.4,9.1,True
CGTN Europe Breaking News,Unknown,EU,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNEuropebreak,1741,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1741,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Food,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNFood,98,CGTN-Food-100820617981722,520,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,618,15.9,84.1,0.0,0.0,0.0,0.0,False
CGTN Français,CGTN法语频道,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNFrancais,977800,CGTNFrancais,20423675,cgtnfrancais,248000,Unknown,0,CGTNFrancais,404000,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,168,5,High,22053643,4.4,92.6,1.1,0.0,1.8,0.0,True
CGTN Global Business,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNGlobalBiz,12500,CGTNGlobalBusiness,1600000,Unknown,0,Unknown,0,BizAsiaAmerica,7980,Unknown,0,3,Medium,1620480,0.8,98.7,0.0,0.0,0.5,0.0,True
